Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"C1","2.2uF","C_0805_2012Metric",24.800000,23.637501,90.000000,top
"C2","2.2uF","C_0805_2012Metric",30.800000,38.710000,180.000000,top
"C3","1uF","C_0805_2012Metric",9.872500,25.710000,0.000000,top
"C4","0.1uF","C_0805_2012Metric",7.310000,27.810000,180.000000,top
"C5","4pF","C_0805_2012Metric",7.353600,34.261100,0.000000,top
"C6","4pF","C_0805_2012Metric",7.312500,29.761100,180.000000,top
"C7","8pF","C_0805_2012Metric",6.200000,41.510000,270.000000,top
"C8","8pF","C_0805_2012Metric",10.400000,41.510000,270.000000,top
"C11","1uF","C_0805_2012Metric",12.250000,44.972500,90.000000,top
"C12","1uF","C_0805_2012Metric",29.800000,25.147501,270.000000,top
"C13","1uF","C_0805_2012Metric",13.520000,22.350000,180.000000,top
"C14","0.1uF","C_0805_2012Metric",10.520000,28.410000,270.000000,top
"C15","1uF","C_0805_2012Metric",31.825000,3.775000,270.000000,top
"C16","0.1uF","C_0805_2012Metric",30.787500,40.700000,0.000000,top
"C17","0.1uF","C_0805_2012Metric",13.487500,24.350000,180.000000,top
"C18","0.1uF","C_0805_2012Metric",27.800000,25.172500,270.000000,top
"C19","0.1uF","C_0805_2012Metric",33.875000,57.860000,0.000000,top
"C20","0.1uF","C_0805_2012Metric",14.250000,44.947500,90.000000,top
"C21","1uF","C_0805_2012Metric",30.762500,42.700000,0.000000,top
"C22","10uF","C_0805_2012Metric",5.500000,7.547501,90.000000,top
"C23","10uF","C_0805_2012Metric",7.500000,7.547501,90.000000,top
"C24",".033uF","C_0805_2012Metric",17.476100,55.710000,0.000000,top
"C25","1uF","C_0805_2012Metric",20.962500,55.710000,180.000000,top
"C26","1uF","C_0805_2012Metric",23.600000,58.660000,90.000000,top
"F1","PTCTHERMISTOR1206","R_1206_3216Metric",2.000000,8.150000,90.000000,top
"Q1","FDN360P","SuperSOT-3",34.000000,8.000000,0.000000,top
"Q2","FDN360P","SuperSOT-3",9.350000,58.200000,0.000000,top
"R1","4.7k","R_0805_2012Metric",2.000000,12.247500,90.000000,top
"R2","1k","R_0805_2012Metric",14.962500,62.410000,0.000000,top
"R3","1k","R_0805_2012Metric",18.425000,62.410000,0.000000,top
"R4","1k","R_0805_2012Metric",21.900000,62.410000,0.000000,top
"R5","10k","R_0805_2012Metric",3.850000,24.110000,90.000000,top
"R6","4.7k","R_0805_2012Metric",13.700000,7.447501,90.000000,top
"R7","10k","R_0805_2012Metric",5.800000,24.110000,270.000000,top
"R8","100k","R_0805_2012Metric",11.787501,16.550000,180.000000,top
"R9","10k","R_0805_2012Metric",11.075000,61.950000,0.000000,top
"R10","100k","R_0805_2012Metric",13.651100,59.156400,180.000000,top
"R11","100k","R_0805_2012Metric",13.651100,57.210000,180.000000,top
"R12","10k","R_0805_2012Metric",21.600000,58.660000,270.000000,top
"U1","STM32H753VITx","LQFP-100_14x14mm_P0.5mm",20.245000,34.260000,270.000000,top
"U2","MCP73831-2-OT","SOT-23-5",10.600000,7.460000,180.000000,top
"U5","LTC2954","SOT-23-8",18.100000,58.640000,0.000000,top
"U6","MCP1703","SOT-23",26.500000,58.610000,180.000000,top
